unit,test_standard,value_double,value_text,property_type_ids,property_name
cm³/10min,ISO 1133,7.0,,1,"Melt volume-flow rate, MVR"
°C,ISO 1133,190.0,,1,Temperature
kg,ISO 1133,2.16,,1,Load
MPa,ISO 527-1/-2,2000.0,,2,Tensile modulus
MPa,ISO 527-1/-2,50.0,,2,Yield stress
%,ISO 527-1/-2,12.0,,2,Yield strain
%,ISO 527-1/-2,45.0,,2,Nominal strain at break
MPa,ISO 899-1,1550.0,,2,"Tensile creep modulus, 1h"
MPa,ISO 899-1,1050.0,,2,"Tensile creep modulus, 1000h"
kJ/m²,ISO 179/1eU,,N,2,"Charpy impact strength, +23°C"
kJ/m²,ISO 179/1eU,230.0,,2,"Charpy impact strength, -30°C"
kJ/m²,ISO 179/1eA,11.0,,2,"Charpy notched impact strength, +23°C"
kJ/m²,ISO 179/1eA,6.5,,2,"Charpy notched impact strength, -30°C"
°C,ISO 11357-1/-3,167.0,,3,"Melting temperature, 10°C/min"
°C,ISO 75-1/-2,85.0,,3,"Temp. of deflection under load, 1.80 MPa"
°C,ISO 75-1/-2,150.0,,3,"Temp. of deflection under load, 0.45 MPa"
°C,ISO 306,140.0,,3,"Vicat softening temperature, 50°C/h 50N"
E-6/K,ISO 11359-1/-2,120.0,,3,"Coeff. of linear therm. expansion, parallel"
class,IEC 60695-11-10,,HB,3,Burning behavior at 1.5 mm nominal thickness
mm,IEC 60695-11-10,1.6,,3,Thickness tested (1.5)
-,-,,Yes,3,Yellow Card available
class,IEC 60695-11-10,,HB,3,Burning behavior at thickness h
mm,IEC 60695-11-10,0.8,,3,Thickness tested (h)
-,IEC 62631-2-1,4.0,,4,"Relative permittivity, 100Hz"
-,IEC 62631-2-1,4.0,,4,"Relative permittivity, 1MHz"
E-4,IEC 62631-2-1,100.0,,4,"Dissipation factor, 100Hz"
E-4,IEC 62631-2-1,140.0,,4,"Dissipation factor, 1MHz"
Ohm*m,IEC 62631-3-1,1000000000000.0,,4,Volume resistivity
Ohm,IEC 62631-3-2,100000000000000.0,,4,Surface resistivity
kV/mm,IEC 60243-1,40.0,,4,Electric strength
-,IEC 60112,600.0,,4,Comparative tracking index
%,Sim. to ISO 62,0.8,,5,Water absorption
%,Sim. to ISO 62,0.2,,5,Humidity absorption
kg/m³,ISO 1183,1370.0,,5,Density
